"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.783447265625","89.3811721801758","94.8483200073242","97.289421081543","","91.1949081420898","90.0146484375","78.0889587402344","78.1027297973633","90.1155776977539","85.9923095703125","","","84.5256576538086","86.7430114746094","89.1132202148438","89.9713287353516","89.1584701538086","94.7720184326172","100.519088745117","90.0805282592773","","84.4040374755859","84.9311065673828","85.793701171875","","","88.5765686035156","93.6171493530273","94.89111328125","97.3015594482422","96.8645629882812","95.1246490478516","",
"American Samoa","ASM","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.1711196899414","90.7099533081055","93.3490371704102","94.6233825683594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","80.7666625976562","54.6249694824219","74.6943588256836","69.3112030029297","73.7416305541992","75.3180389404297","62.7653694152832","","","","","","","","","","","","","","98.3179092407227","","","","","","","","80.2677612304688","","","","","","","111.461891174316","121.367279052734","117.816329956055","114.838012695312","115.565589904785","116.689872741699","","114.909660339355","117.027770996094","","116.530403137207","120.935958862305","","","","","","",
"Australia","AUS","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","84.050537109375","","","","","","","","","","","","","","","","","","","","","","","134.624359130859","132.973785400391","143.859954833984","148.626983642578","153.003173828125","","","","","","","","","","","","","","","","","","159.110763549805","155.594390869141","153.576126098633","136.105545043945","144.056564331055","137.490737915039","135.526565551758","133.277267456055","","",
"Austria","AUT","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","87.5298461914062","","","","","90.1950531005859","","","","","93.508918762207","92.1323089599609","93.8151779174805","94.2479400634766","96.1712493896484","99.6479568481445","100.917259216309","102.033920288086","102.083633422852","103.100128173828","102.758598327637","103.182708740234","103.542419433594","104.510581970215","105.025390625","105.034111022949","104.722023010254","97.527099609375","98.3134918212891","98.6123428344727","98.8608627319336","98.9512710571289","99.3974533081055","99.2856369018555","100.199432373047","100.416679382324","100.102569580078","100.126129150391","100.594093322754","100.263969421387","99.6729583740234","100.108726501465","101.173210144043","101.304809570312","101.411582946777","100.227989196777","100.337898254395","100.692596435547","101.543632507324","101.690559387207","102.307662963867","101.458000183105","","",
"Azerbaijan","AZE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0853181521079","82.9176205382172","82.762274922741","83.1376553563209","83.4386600193183","84.8098586425184","74.922503925884","77.4080343707927","108.517936706543","107.899871826172","91.3968963623047","91.4322891235352","90.9729919433594","92.7589111328125","",
"Burundi","BDI","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","1.7265100479126","1.80838000774384","1.42620003223419","1.76294994354248","2.12945008277893","2.31243991851807","2.28082990646362","2.41137003898621","2.49899005889893","2.53344011306763","2.77395009994507","2.93998003005981","2.80200004577637","2.96073007583618","3.23849010467529","3.44759011268616","3.80818009376526","3.98829007148743","4.40410995483398","4.72082996368408","5.3340802192688","5.6862998008728","6.27830982208252","","","","","","","","9.63891983032227","10.1557302474976","10.493390083313","12.0837802886963","13.2845802307129","14.6844301223755","15.7173204421997","","21.4418697357178","24.3956508636475","27.5342102050781","30.4175605773926","35.2159614562988","41.4826889038086","45.2864799499512","48.9952812194824","49.8075103759766","47.8539505004883","43.208080291748","46.391471862793","","","","",
"Belgium","BEL","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","80.2797012329102","82.1080169677734","83.2194671630859","83.8351211547852","83.6702728271484","83.7607727050781","85.0422973632812","87.5944366455078","89.0075912475586","90.2514724731445","91.4827728271484","93.4176330566406","93.6744766235352","96.1073989868164","98.168701171875","99.756950378418","100.449867248535","102.300743103027","103.57438659668","104.52214050293","104.737030029297","105.012008666992","142.575134277344","143.308883666992","144.087585449219","144.00553894043","","","142.884155273438","146.919784545898","155.946166992188","157.648773193359","158.87922668457","151.638092041016","157.343399047852","158.685104370117","159.439895629883","160.468811035156","159.661544799805","160.66047668457","159.349304199219","160.110534667969","161.845886230469","162.421981811523","164.079818725586","160.689270019531","158.670288085938","156.509765625","156.635375976562","151.727508544922","143.163513183594","142.918075561523","","",
"Benin","BEN","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","4.1323299407959","4.96054983139038","6.0793399810791","6.73226022720337","7.80577993392944","8.11310005187988","8.61491966247559","9.41759967803955","10.1381397247315","11.5852499008179","14.4719104766846","17.2715797424316","19.8619403839111","18.9076404571533","17.8847999572754","15.4489698410034","14.3062000274658","","","","","","","","","","","","20.098539352417","20.8747406005859","22.6525707244873","24.5954608917236","25.9423904418945","27.7856101989746","","","","","","","47.4146003723145","","54.0870780944824","54.7326316833496","57.3949584960938","57.529670715332","","","","45.7407913208008","46.0770416259766","45.3651695251465","","",
"Burkina Faso","BFA","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","1.34247994422913","1.36520004272461","1.44359004497528","1.67177999019623","1.74671995639801","1.78394997119904","1.93453001976013","2.00943994522095","2.12686991691589","2.47392988204956","2.64081001281738","2.93271994590759","2.96812009811401","3.19065999984741","3.79249000549316","4.51815986633301","5.14496994018555","5.77653980255127","6.56520986557007","6.84858989715576","7.185959815979","7.39049005508423","7.79690980911255","8.11277008056641","","","","","9.37078952789307","9.9255199432373","10.1021995544434","","11.3447599411011","12.4341201782227","13.4484701156616","14.2397899627685","15.3694496154785","18.0988502502441","19.5438003540039","21.2837505340576","23.2858791351318","25.3485202789307","27.7329998016357","29.732629776001","33.0902481079102","35.1508483886719","37.3736114501953","39.8208885192871","40.2732582092285","39.4295806884766","38.2898712158203","33.724910736084","30.9303798675537","",
