"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1100006103516","32.7400016784668","57.8995628356934","59.1528739929199","59.5699996948242","60.8300018310547","62.3800010681152","61.7171287536621","63.5099983215332","62.900218963623","69.0899963378906","71.1498184204102","72.3199996948242","72.0473861694336","",
"Belarus","BLR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.4000015258789","","","","","","","96.844367980957","97.1415481567383","97.4142684936523","94.7399978637695","97.6255874633789","97.5256881713867","97.8953857421875","97.8906707763672","",
"Belize","BLZ","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8299999237061","","","","","36.8300018310547","","","37.9717483520508","38.4909248352051","32.5941200256348","39.9577484130859","39.1543998718262","","37.4651184082031","43.2900009155273","","","","",
"Bermuda","BMU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6999969482422","","","","","","","","","","77.0199966430664","","","","","","87.4499969482422","","","","","","","","",
"Bolivia","BOL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","12.0900001525879","","","","","","","","","","","","","","","","28.0100002288818","","","","","","","","29.7099990844727","28.3199996948242","25.7000007629395","","26.0400009155273","30.9599990844727","33.4700012207031","36.6100006103516","36.310001373291","38.060001373291","","40.4500007629395","41.9599990844727","46.4099998474121","40.8699989318848","42.1699981689453","43.1500015258789","44.7200012207031","45.189998626709","48.5800018310547","50.4799995422363","49.7099990844727","50.7063941955566","52.1244964599609","",
"Brazil","BRA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","5.67999982833862","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2600002288818","26.7800006866455","28.0900001525879","29.2700004577637","30.4500007629395","32.310001373291","33.6199989318848","35.4099998474121","37.0200004577637","35.9199981689453","39.3499984741211","40.6100006103516","41.7999992370605","42.5200004577637","43.7299995422363","46.9900016784668","47.5400009155273","49.2000007629395","50.2400016784668","52.8899993896484","53.5400009155273","54.0099983215332","60.1056327819824","",
"Barbados","BRB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2099990844727","","","","","","","","","","","","","","","28.6803798675537","49.526798248291","29.3670673370361","33.2941207885742","32.0218849182129","","","","","",
"Brunei Darussalam","BRN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","","","70.6455535888672","","","67.7984085083008","68.3765182495117","69.2108535766602","67.4221725463867","70.8407669067383","68.7673873901367","","",
"Bhutan","BTN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.51000022888184","","","","","17.3199996948242","","","","","","","",
"Botswana","BWA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","1.27999997138977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.94921875","43.7358360290527","44.2293739318848","44.8843154907227","45.9548873901367","",
