country,country_code,year,GB.XPD.RSDV.GD.ZS,indicator,indicator_code
Europe & Central Asia,ECS,2022,1.96941643815382,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2021,2.18341755813497,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2020,2.19950994048086,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2019,2.13331036599643,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2018,2.07557709655809,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2017,2.03749629245063,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2016,1.98471182119554,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2015,2.00003715867691,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2014,1.92954377445175,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2013,1.80923474898286,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2012,1.82783813073007,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2011,1.783426292653,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia,ECS,2010,1.77695758943334,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2022,0.811155233994371,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2021,0.858389140124921,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2020,0.850288892261299,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2019,0.828587307773741,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2018,0.830287921824602,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2017,0.811015189913159,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2016,0.801488338553965,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2015,0.694319087668762,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2014,0.632280907419358,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2013,0.624183276273987,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2012,0.642800024619912,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2011,0.623549537981914,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (excluding high income),ECA,2010,0.650148130826648,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2022,0.934026636118547,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2021,0.964422571107021,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2020,1.00688063219061,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2019,0.966972968019396,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2018,0.930830020692771,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2017,0.945195377149697,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2016,0.918318982918464,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2015,0.88407231008388,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2014,0.860418551194583,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2013,0.835142271461532,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2012,0.849008245668005,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2011,0.816245553607115,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Europe & Central Asia (IDA & IBRD countries),TEC,2010,0.854721587929587,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2022,2.24284673104663,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2021,2.26011560998375,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2020,2.29719913852762,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2019,2.22360932971167,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2018,2.18549792898945,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2017,2.15403563707448,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2016,2.1189695096384,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2015,2.11941715251006,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2014,2.11981418305283,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2013,2.09909041986882,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2012,2.07924885950758,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2011,2.01785910113373,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
European Union,EUU,2010,1.97148716089693,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2022,2.92171663174815,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2021,2.834275545812,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2020,2.87313304779935,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2019,2.6964393868072,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2018,2.61516336000022,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2017,2.54109875248657,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2016,2.51134812086413,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2015,2.45557704057632,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2014,2.42222730005552,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2013,2.32669924788731,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2012,2.33188433558241,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2011,2.31347078405846,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
High income,,2010,2.32159999989174,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2022,1.95668840008716,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2021,1.84598120678686,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2020,1.62596879720608,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2019,1.47365792477426,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2018,1.40911071090941,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2017,1.35460357615108,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2016,1.38459431054352,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2015,1.36556054469234,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2014,1.30243930017175,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2013,1.18159893112059,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2012,1.18704444530768,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2011,1.09715110140493,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IBRD only,IBD,2010,1.08245677415218,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2022,1.93203215897095,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2021,1.81350178368668,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2020,1.61226747098087,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2019,1.43142033722656,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2018,1.39686460600169,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2017,1.32396899170807,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2016,1.36985635242329,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2015,1.33484203142371,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2014,1.29045688620705,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2013,1.16301197964994,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2012,1.18245788277734,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2011,1.0843880543257,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA & IBRD total,IBT,2010,1.06755325702374,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
IDA blend,IDB,2019,0.230270273623277,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2022,2.16279026695529,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2021,2.05882545149077,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2020,1.95873811577178,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2019,1.80068069726668,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2018,1.69803382844095,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2017,1.67416241128385,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2016,1.68052756522859,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2015,1.61439459802267,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2014,1.5408211708498,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2013,1.47844578681197,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2012,1.43392030247827,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2011,1.29381882792731,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Late-demographic dividend,LTE,2010,1.32060926350028,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2020,0.618371437998563,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2019,0.654545444248906,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2018,0.64485509954147,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2017,0.652354799064848,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2016,0.722709826591838,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2015,0.760782566236254,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2014,0.735275941171462,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2013,0.705740439516466,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2012,0.67978266586929,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2011,0.707895858362777,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean,LCN,2010,0.732700575730789,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2020,0.65094914315689,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2019,0.686577229640051,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2018,0.679304146465216,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2017,0.685689409426041,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2016,0.764677261630662,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2015,0.812106521094865,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2014,0.806025223503264,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2013,0.770915947356659,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2012,0.741983087501159,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2011,0.772183296418471,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & Caribbean (excluding high income),LAC,2010,0.818317480684099,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,0.621027913051822,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,0.656742167933502,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2018,0.64704427698908,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,0.656590302915134,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
