country,country_code,year,IP.PAT.RESD,indicator,indicator_code
Belgium,BEL,2013,715,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2012,755,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2011,636,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2010,620,"Patent applications, residents",IP.PAT.RESD
Bhutan,BTN,2019,1,"Patent applications, residents",IP.PAT.RESD
Bhutan,BTN,2018,1,"Patent applications, residents",IP.PAT.RESD
Bhutan,BTN,2016,4,"Patent applications, residents",IP.PAT.RESD
Bhutan,BTN,2015,1,"Patent applications, residents",IP.PAT.RESD
Bhutan,BTN,2013,3,"Patent applications, residents",IP.PAT.RESD
Bhutan,BTN,2012,3,"Patent applications, residents",IP.PAT.RESD
Bolivia,BOL,2021,5,"Patent applications, residents",IP.PAT.RESD
Bolivia,BOL,2020,8,"Patent applications, residents",IP.PAT.RESD
Bolivia,BOL,2017,59,"Patent applications, residents",IP.PAT.RESD
Bolivia,BOL,2016,12,"Patent applications, residents",IP.PAT.RESD
Bolivia,BOL,2014,9,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2021,53,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2020,50,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2019,45,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2018,84,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2017,87,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2016,60,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2014,41,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2013,7,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2012,2,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2011,43,"Patent applications, residents",IP.PAT.RESD
Bosnia and Herzegovina,BIH,2010,56,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2021,3,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2020,2,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2019,2,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2017,3,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2016,1,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2015,3,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2014,4,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2013,8,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2012,5,"Patent applications, residents",IP.PAT.RESD
Botswana,BWA,2011,1,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2021,4666,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2020,5280,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2019,5464,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2018,4980,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2017,5480,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2016,5200,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2015,4641,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2014,4659,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2013,4959,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2012,4798,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2011,4695,"Patent applications, residents",IP.PAT.RESD
Brazil,BRA,2010,4228,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2021,2,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2020,5,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2019,8,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2018,26,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2017,8,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2016,16,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2014,26,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2013,20,"Patent applications, residents",IP.PAT.RESD
Brunei Darussalam,BRN,2012,20,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2021,165,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2020,239,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2019,186,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2018,180,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2017,202,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2016,230,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2015,280,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2014,218,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2013,282,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2012,245,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2011,262,"Patent applications, residents",IP.PAT.RESD
Bulgaria,BGR,2010,243,"Patent applications, residents",IP.PAT.RESD
Burkina Faso,BFA,2010,2,"Patent applications, residents",IP.PAT.RESD
Burundi,BDI,2020,2,"Patent applications, residents",IP.PAT.RESD
Burundi,BDI,2018,2,"Patent applications, residents",IP.PAT.RESD
Burundi,BDI,2017,3,"Patent applications, residents",IP.PAT.RESD
Cabo Verde,CPV,2021,1,"Patent applications, residents",IP.PAT.RESD
Cabo Verde,CPV,2020,1,"Patent applications, residents",IP.PAT.RESD
Cabo Verde,CPV,2018,3,"Patent applications, residents",IP.PAT.RESD
Cabo Verde,CPV,2017,2,"Patent applications, residents",IP.PAT.RESD
Cabo Verde,CPV,2016,2,"Patent applications, residents",IP.PAT.RESD
Cambodia,KHM,2018,1,"Patent applications, residents",IP.PAT.RESD
Cambodia,KHM,2016,3,"Patent applications, residents",IP.PAT.RESD
Cambodia,KHM,2014,2,"Patent applications, residents",IP.PAT.RESD
Cambodia,KHM,2013,1,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2021,4710,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2020,4452,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2019,4238,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2018,4349,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2017,4053,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2016,4078,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2015,4277,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2014,4198,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2013,4567,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2012,4709,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2011,4754,"Patent applications, residents",IP.PAT.RESD
Canada,CAN,2010,4550,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2021,402,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2020,372,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2019,438,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2018,406,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2017,425,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2016,386,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2015,443,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2014,452,"Patent applications, residents",IP.PAT.RESD
Chile,CHL,2013,340,"Patent applications, residents",IP.PAT.RESD
