country_code,NY.GDP.PCAP.PP.KD,country_x,SE.SEC.ENRR,country_y,SE.XPD.TOTL.GD.ZS,country,hdi,life_expectancy,education_index,gni_per_capita,unemployment_rate,youth_unemployment,labor_force_participation
TMN,9189.42974260365,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",75.2470016479492,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",3.24005007743835,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",,,,,,,
TON,6995.31729495122,Tonga,90.4639980016237,Tonga,4.86051654815674,Tonga,,,,,,,
TSA,7399.21469055874,South Asia (IDA & IBRD),71.083740234375,South Asia (IDA & IBRD),2.90271109342575,South Asia (IDA & IBRD),,,,,,,
TSS,4188.70458205778,Sub-Saharan Africa (IDA & IBRD countries),44.5303802490234,Sub-Saharan Africa (IDA & IBRD countries),3.8029705286026,Sub-Saharan Africa (IDA & IBRD countries),,,,,,,
TTO,30723.4035474329,Trinidad and Tobago,,,4.2576699256897,Trinidad and Tobago,,,,,,,
TUN,11955.5659209798,Tunisia,91.1704330444336,Tunisia,7.26507568359375,Tunisia,,,,,,,
TUR,28378.5520849539,Turkiye,112.527458190918,Turkiye,4.03382015228271,Turkiye,,,,,,,
TUV,5154.45957834015,Tuvalu,77.3861999511719,Tuvalu,,,,,,,,,
TZA,3449.82153320313,Tanzania,30.7196795590619,Tanzania,3.23097252845764,Tanzania,,,,,,,
UGA,2678.00907202293,Uganda,24.0003346678213,Uganda,2.57222175598145,Uganda,,,,,,,
UKR,17092.5390625,Ukraine,84.4283294677734,Ukraine,5.38231992721558,Ukraine,,,,,,,
URY,27788.1854968153,Uruguay,116.991828918457,Uruguay,4.54292011260986,Uruguay,,,,,,,
USA,67342.0709283912,United States,100.509819030762,United States,5.39998006820679,United States,0.921,78.9,0.894,63543.0,3.9,8.1,62.2
UZB,8727.41104939223,Uzbekistan,90.0642970154019,Uzbekistan,4.94803667068481,Uzbekistan,,,,,,,
VCT,15763.7054382539,St. Vincent and the Grenadines,127.234155396447,St. Vincent and the Grenadines,5.46375846862793,St. Vincent and the Grenadines,,,,,,,
VEN,,,84.1052017211914,"Venezuela, RB",,,,,,,,,
VGB,,,91.7039413452148,British Virgin Islands,2.70538997650146,British Virgin Islands,,,,,,,
VIR,45055.7829303523,Virgin Islands (U.S.),,,,,,,,,,,
VNM,11851.3965685649,Viet Nam,93.7899476841572,Viet Nam,3.21652889251709,Viet Nam,,,,,,,
VUT,3259.995437532,Vanuatu,54.3274688720703,Vanuatu,2.17358994483948,Vanuatu,,,,,,,
WLD,18698.060960059,World,76.7802505493164,World,4.44135999679565,World,,,,,,,
WSM,6745.30639596154,Samoa,84.4522508456935,Samoa,4.48100519180298,Samoa,,,,,,,
XKX,11137.5028560404,Kosovo,,,,,,,,,,,
YEM,,,47.2419013977051,"Yemen, Rep.",5.46478986740112,"Yemen, Rep.",,,,,,,
ZAF,13266.785814741,South Africa,110.017478942871,South Africa,6.17067003250122,South Africa,,,,,,,
ZMB,3391.59541156095,Zambia,,,3.94964814186096,Zambia,,,,,,,
ZWE,2987.26841265633,Zimbabwe,51.8495788574219,Zimbabwe,2.05048990249634,Zimbabwe,,,,,,,
